artist,bio,listeners,playcount,similar_artist
Benny Benni, Read more on Last.fm,22967,210679,Sou El Flotador
Zacarias Ferreira,"Ferreira was born in the cigar-manufacturing town of Amaceyes Tamboril, near Santiago in the Cibao region of the north-western Dominican Republic. The region is famous for merengue périco ripao, the traditional Dominican music, and his family, all big music lovers, filled his childhood home with the music spurring Zacarías on to dream of becoming a musical artist himself.

The desire to improve himself motivated him to leave for the country’s capital Read more on Last.fm",94775,811508,Joe Veras
J Balvin,"José Álvaro Osorio Balvin (born May 7, 1985), known professionally as J Balvin, is a Colombian reggaeton singer. Balvin was born in Medellín, Colombia, where he became interested in music at a young age. At age 17, he moved to the United States and learned English, which influenced the music he would make later. He then returned to Medellín and gained local popularity by performing at various clubs around the city.

Though his music is primarily reggaeton Read more on Last.fm",1806400,62966181,Maluma
Wisin & Yandel,"Wisin & Yandel is a Puerto Rican reggaeton duo, consisting of Llandel Veguilla Malavé Salazar (Yandel) and Juan Luis Morera Luna (Wisin). They started their career in 1995 and have been together ever since, winning several awards during that time.

Their biggest hits are ""Rakata"", ""Llamé Pa' Verte (Bailando Sexy)"", ""Pam Pam"", ""Sexy Movimiento"", ""Pegao"",""Síguelo"", ""Abusadora"", and ""Gracias a Tí"". Wisin & Yandel have collaborated with internationally known artists such as R. Read more on Last.fm",856189,19765868,Don Omar
Don Patricio,"Patricio Martín Díaz, de nombre artístico Don Patricio, es un rapero español. Read more on Last.fm",99095,1379074,C. Tangana
FlowZeta, Read more on Last.fm,2307,12087,Daviles de Novelda
Lalo Rodriguez,"His love of music began when he sang in the traditional patron saint festivals in Puerto Rico, and on television and radio when he was nine years old. The first recording of his professional career came seven years later. 

According to the artist, the story behind this transition was unforgettable: “Between the age of 12 to about 15 and a half, more or less, I sang with a salsa band called Tempo Moderno. In 1973 we shared the stage with the orchestra of Eddie Palmieri. Read more on Last.fm",162493,1048271,Eddie Santiago
Daviles de Novelda, Read more on Last.fm,22675,229438,Luis Cortés
Dylan Fuentes, Read more on Last.fm,12955,64795,Lalo Ebratt
Osquel, Read more on Last.fm,1983,11304,Baby Johnny
Nego do Borel, Read more on Last.fm,148651,1433313,Zaac
Super Yei, Read more on Last.fm,132473,1651607,Brytiago
Funk.Shu, Read more on Last.fm,1155,3536,One t.w.o.
Mon Laferte,"Norma Monserrat Bustamante Laferte (born 2 May 1983) better known as Mon Laferte, is a Chilean-Mexican musician, singer, composer, and painter. Her musical style is diverse, spanning different genres such as pop, rock, bolero, cumbia, and salsa, showcasing her versatility and creativity. Throughout the 2010s, she gained widespread recognition for her melodramatic style and ""captivating stage persona"".

With over 1.5 million digital records sold in Latin America between albums and singles Read more on Last.fm",460649,23792857,Natalia Lafourcade
Eddie Santiago,"Eddie Santiago (born August 18, 1955) is a salsa singer from Puerto Rico. At a young age, Eddie demonstrated great love and talent for salsa music. He performed with several groups, including Generación 2000, Orquesta La Potente, Orquesta Opus, and the Orquesta Saragüey.

Santiago's career took off in 1986 in Puerto Rico and Latin America as a soloist, formimg his own band, and recording songs including: ""Tú me quemas"" (You Burn Me), ""Qué Locura Enamorarme de Ti"" (What Madness To Fall in Love With You) Read more on Last.fm",272079,3055877,Willie Gonzalez
Juhn, Read more on Last.fm,55122,649206,Noriel
Joycee, Read more on Last.fm,203,2528,Demphra
Micro TDH,"Fernando Daniel Morillo Rivas, conocido artísticamente como Micro TDH, ​ es un cantante, rapero y trapero venezolano.​ Fue galardonado en los Premios Union Rock Show como «Mejor artista revelación» en 2016.​ Conocido por sencillos como «Cafuné», «Bésame sin sentir», «Aquí estoy», entre otros .​ Read more on Last.fm",125031,2894362,Neutro Shorty
KREAM,"
Made up of two brothers from Bergen, Norway, KREAM is a project focused on energetic dance music with an emphasis on classical songwriting. Daniel and Markus Slettebakken began producing at a young age, each developing into their own role in the process. The duo has already seen several remixes reach streams in the multi-millions, racking up 40+ million plays on SoundCloud alone. The pair quickly found a home at Big Beat/Atlantic this year, where they've been releasing numerous originals including ""Love You More Read more on Last.fm",314439,3809499,Hayla
Joel Santos, Read more on Last.fm,8344,62468,Dustin Richie
Bebe,"Bebe is the name used by at least 8 artists:

[1] María Nieves Rebolledo Vila (b. 9 May 1978 in Extremadura, Spain), a singer and actress whose parents were members of the folk group Surberina. Her Spanish breakthrough came with her album Pafuera Telarañas.  She won the Best New Artist award, at the 2005 Latin Grammy Awards, and was nominated for five awards in total.
Y.  is the second studio album released by Spanish singer-songwriter Bebe. Released on June 29 Read more on Last.fm",343489,5488980,Amaral
Ana Mena,"Ana Mena Rojas (born February 25, 1997) is a Spanish singer and actress. She began her career in 2011 in the TV series Marisol, la película (2011). Her musical career began in 2016, when she released her debut single ""No Soy Como Tú Crees"". Mena has collaborated with many well known artists since, including Becky G, CNCO and Lali. In 2018, she released her debut studio album, Index. Read more on Last.fm",124257,4101276,Vicco
Anonimus,"ATTENTION!! THIS IS A DIFFERENT ARTIST ""ANONIMUS"" FROM THE A.N.O.N.I.M.U.S. (AKA) ANO. PLEASE BE AWARE OF THE DIFFERENCE IS THESE TWO ARTISTS!! Read more on Last.fm",23527,188153,Benny Benni
Andy Rivera,"Andrés Felipe Rivera Galeano nació en Pereira, hijo del cantante y compositor de música popular Jhonny Rivera y de Luz Galeano. Con su padre fue siguiendo el mismo paso de la música tempranamente a los 12 años, en los tiempos libres se dedicaba a la vocalización y al piano.

Su padre lo inclinó por la música aunque el escogió el género urbano. Su primer sencillo contó con el apoyo de su amigo Pipe Calderon y su productor Dj Cano quienes realizaron ""En Busca De Ella"". Read more on Last.fm",82428,803877,Reykon
Trapani, Read more on Last.fm,4006,69029,Dual TOD
Dalex,"Pedro David Daleccio Torres Altura: 1.70, better known as Dalex, is an American Latin R&B singer. He was formerly part of the duo Jayma y Dalex. Currently, Dalex is signed to the Rich Music record label.  Read more on Last.fm",223234,3854855,Sech
Tony Mendez,"Acoustic music from KS, also goes by the name ""Moon Racer"". Read more on Last.fm",242,660,Chris Micali
Mariah Angeliq,"Mariah Angelique Pérez, better known as Mariah Angeliq, is an American singer. Born in Miami to a Cuban father and a Puerto Rican mother, Pérez began writing music at the age of 16, and ran away from her home to follow her music career. She crossed paths with the reggaeton producer Nely El Arma Secreta who guided the artist and introduced Spanish music to her repertoire. She signed with Universal Music Group in 2018. Read more on Last.fm",88869,903433,Sofía Reyes
Jessi Uribe, Read more on Last.fm,30042,376934,Pipe Bueno
Jaycob Duque,"Jacob Duque, better known in urban music as Jaycob Duque, was born on September 8, 1997 in Pereira, Colombia, he is a young reggaeton singer. In 2013 he began his artistic career with his manager Kike Montoya, who has worked with great artists of the urban genre such as Farruko, Arcangel, Ñengo Flow, Kelmmit, Edup, Dj Luian, Sinfónico & Onix, Lil Genius and Super Yei. In 2014 he would come with a new musical conquest by Arcangel and the song titled ""A Fuego Lento"", which reached more than 500,000 views on the YouTube digital platform. Read more on Last.fm",6345,25631,RONALD EL KILLA
Lele Pons,"Eleonora ""Lele"" Pons Maronese (born June 25, 1996) is a venezuelan internet celebrity, YouTuber, actress, singer, dancer, model and former host of La Voz... México.

Pons came to prominence on Vine, before the platform shut down in 2016. She has since branched out, creating comedy sketches for YouTube, where she now has over 14 million subscribers, and 35.3 million followers on Instagram. She has acted in film, television, and in music videos, has released her own music, and co-authored a novel in 2016.  Read more on Last.fm",191325,1511415,Anitta & J Balvin
El Varon de la bachata, Read more on Last.fm,4113,27876,El Chaval De La Bachata
Christian Daniel,"Christian Daniel (born March 20, 1984) is a Puerto Rican singer-songwriter and actor.

Daniel is a singer-songwriter. At the age of 17, Daniel recorded his first demo with vocal coach Socky Torres. He sent demos to several recording companies until Emilio Estefan invited him to Miami to record his début album, Christian Daniel (2007). He was the first artist signed to the record label Bad Boy Latino. Several of his songs have charted on various Billboard charts. Read more on Last.fm",16228,111147,Ana Isabelle
Bad Bunny,"Benito Antonio Martínez Ocasio (born March 10, 1994), known professionally as Bad Bunny, is a Puerto Rican rapper and singer. He is recognized as a leading figure in Latin trap and has played a significant role in popularizing Spanish-language rap in global mainstream music. Bad Bunny became the first non-English-language artist to be Spotify's most-streamed artist of the year, achieving this distinction in three consecutive years from 2020 to 2022. His 2022 album ""Un Verano Sin Ti"" holds the record as the most-streamed album on Spotify. Read more on Last.fm",2478918,383536581,Rauw Alejandro
Shadow Blow,"José Ariel Fernández Soto, Mejor conocido como SHADOW BLOW, nacido en el año 1983, Santo Domingo, República Dominicana. Sus inicios en el ámbito musical datan del año 1992, cuando incursiona en el CONSERVATORIO NACIONAL DE MUSICA de santo domingo, en el cual dura 10 años estudiando piano.

Es en el año 2001 es cuando este exponente se da cuenta que le gusta el género urbano, dando sus primeros pasos el grupo BLOKE C 37. En Poco tiempo SHADOW BLOW Read more on Last.fm",6981,63767,El Batallon
Shakira,"Shakira Isabel Mebarak Ripoll is a Colombian singer. Born and raised in Barranquilla, She made her recording debut with Sony Music Colombia at the age of 13. Following the commercial failure of her first two albums, Magia (1991) and Peligro (1993), she rose to prominence in Hispanic countries with her next albums, Pies Descalzos (1995) and Dónde Están los Ladrones? (1998). She entered the English-language market with her fifth album, Laundry Service (2001), which sold over 13 million copies worldwide. Read more on Last.fm",4807672,176390128,Paulina Rubio
Sky Rompiendo,"Alejandro Ramírez Suárez (born May 23, 1992), better known as Sky Rompiendo (“breaking sky” or “Sky breaking”), Sky Rompiendo el Bajo or just Sky is a Colombian producer, songwriter and DJ. He gained recognition at a young age, creating hits with Latin trap and reggaetón artists such as Anitta, Feid, J Balvin, Karol G, Maluma, Nicky Jam and Ozuna. He has received six Latin Grammy Awards as a producer and songwriter.

Ramírez was born on May 23, 1992, in Medellín, Colombia. Read more on Last.fm",158511,2834913,Dei V
Steve Lean, Read more on Last.fm,21482,361827,kabasaki
French Montana,"Karim Kharbouch (born November 9, 1984), better known by his stage name French Montana, is a Moroccan-American rapper. Born and raised in Morocco, he immigrated to the United States with his family at the age of 13. He embarked on a musical career in 2002, releasing a slew of independent material until signing a joint-venture record deal with Puff Daddy's Bad Boy Records and Rick Ross's Maybach Music Group in 2012.
Kharbouch released his debut mixtape in 2007 and had his first breakthrough with the single ""Choppa Choppa Down"" in 2010. Read more on Last.fm",1939728,29115171,DJ Khaled
KHEA,"Ivo Alfredo Thomas Serue, known musically as Khea, is an Argentinian Latin trap singer born in Mar de Plata, Buenos Aires, Argentina. He is a member of the Argentinian trap scene along with artist such as :   Cazzu and  Duki.  Read more on Last.fm",231009,10504953,Duki
Ñengo Flow,"Edwin Rosa, publicly popular as ""Ñengo Flow"" is a hip hop artist and composer of Puerto Rican music. Its fast and complex letters have referred to as the ""Real G"" urban type.

Flow Ñengo born on October 15, 1981 in the town of Rio Piedras. This great rapper grew and raised in the town of Bayamon, Puerto Rico. It is there since childhood he was interested the world of urban music. His beginnings as a rapper were developed with letters of the street, everyday living Edwin Rosa. Read more on Last.fm",237472,5269747,"Gotay ""El Autentiko"""
Brytiago, Read more on Last.fm,195795,3971330,Bryant Myers
Bomba Estéreo,"Bomba Estéreo is a (cumbia + electronic music) band formed in Bogotá,  Colombia in 2005 and led by Simón Mejía. In 2007 they released their debut album Vol. 1. 

Currently the band has finished promoting its second album  Estalla throughout Europe, Latin America and the United States, and is preparing the recording of a third album.

The original lineup consists of:
Simon Mejía, Songwriting, Bass, Loops and Backing Vocals.
Li Saumet, Lyrics, Lead Vocals. Read more on Last.fm",362757,5767078,Systema Solar
Chencho Corleone,"Orlando Javier Valle Vega (Guayama, Puerto Rico; 19 de febrero de 1979),4​5​ conocido artísticamente como Chencho Corleone o simplemente Chencho, es un cantante, compositor y productor discográfico puertorriqueño de  reggaeton Read more on Last.fm",93711,1145014,Darell
Jory Boy, Read more on Last.fm,165490,1685201,Ñejo
Kendo,"There are 2 artists named Kendo:

1) An IDM/Breakbeats producer

2) An Electronic/House producer from Chicago, Illinois.  His 6-track debut EP ""Two Blue Horizons"" was released in May of 2010 as a free digital download.

3) A now-defunct Romanian metalcore band with members of Prostest Urban Read more on Last.fm",4792,53485,Dissatisfaction
Willy William,"Willy William is a French-Jamaican DJ, music producer and singer songwriter and artist famous for his club remixes and vocal collaborations with a number of dance music artists.

He came to prominence in 2003 with his work with DJ Flex in the dancefloor hit B Boyz Shake da Body and in 2004 as producer of Tragedie using the pseudonym 'Lord William. He later joined the French music collective Collectif Métissé, also continuing to produce his own materials. Read more on Last.fm",155087,1122067,Jessy Matador
Myke Towers,"Myke Towers, whose real name is Michael Torres, is a Puerto Rican rapper and composer born on January 15, 1994 in Río Piedras, Puerto Rico. Since his teenage years, Myke Towers has been involved in the underground rap scene in Puerto Rico under the name Mike Towers, and his first compositions and freestyles were published on his SoundCloud account. He gained recognition in 2014 with songs such as ""Día de cobro"", ""Por Mí"", ""Es Normal"" and ""En los Bloques"". Read more on Last.fm",644839,27286055,JHAYCO
Rvfv, Read more on Last.fm,278632,4625057,Morad
Brray,"Bryan García Quinones (19 de septiembre de 1992), más conocido como Brray, es un cantante y compositor puertorriqueño del género urbano, hip hop y trap. Autor de temas como La Curiosa, Machuqueo y Flow, Brray llegó a la escena con el lanzamiento de Me siento bien en 2014. Read more on Last.fm",110413,1566704,Nio Garcia
Jay Wheeler,"Reggaeton singer from Puerto Rico.  According to an article by Natacha Andueza:

""Jose Angel Lopez Martinez started singing in a church, where he played the piano and then began creating all types of beats with his computer. Wheeler was too scared and shy to sing due to bullying while he was in school. He felt insecure and did not want to show off his talents.

A few years later, everything changed, he fell in love and had to deal with heartbreak. Read more on Last.fm",268503,5691442,Alex Rose
Snow,"There is more than one artist with the stage name Snow: 

1) Snow (born Darrin O'Brien on October 30, 1968 in North York, Ontario) is an award-winning Canadian reggae musician. His music is an interplay between reggae, dancehall with toasting and singjaying.

One of his neighboring Jamaican families introduced him as a teenager to reggae and began calling him ""Snow"" and ""Snow White"". In 1988, Jamaican-born DJ Marvin Prince witnessed O'Brien deejaying at a party in Toronto and the two quickly became friends. Read more on Last.fm",404385,2664734,Vanilla Ice
La Dimensión Latina, Read more on Last.fm,61636,188858,Orquesta Inmensidad
Selena Gomez,"Selena Marie Gomez (born July 22, 1992) is an American actress, singer, and businesswoman. She began her career as a child actress on the children's television series Barney & Friends (2002–2004) and later gained prominence for her role as Alex Russo on the Disney Channel sitcom Wizards of Waverly Place (2007–2012). In 2008 she signed with Hollywood Records and formed the band Selena Gomez & the Scene, which released the albums ""Kiss & Tell"" (2009), ""A Year Without Rain"" (2010), and ""When the Sun Goes Down"" (2011). Read more on Last.fm",3131901,201489222,Selena Gomez & the Scene
Pablo Mas, Read more on Last.fm,124,264,Rvfv & David Marley
Marc Anthony,"Marco Antonio Muñiz (born September 16, 1964), better known by his stage name Marc Anthony.
 A New Yorker born and raised, the product of a music-loving Puerto Rican family, his parents named him Marco Antonio Muñíz in honor of the great Mexican balladeer of the same name. 
Born Marco Antonio Muñiz September 16, 1964 (age 52)
New York City, New York, U.S.
Nationality American Puerto Rican
Occupation Singer songwriter actor record producer television producer Read more on Last.fm",817167,10842031,Gilberto Santa Rosa
EZ El Ezeta, Read more on Last.fm,6795,35407,Nano La Diferencia
Yandar & Yostin, Read more on Last.fm,103535,644779,Zarcort
Atomic Otro Way, Read more on Last.fm,64247,512801,Lirico En La Casa
$kyhook,"$kyhook es el productor de algunos de los temas más importantes del panorama nacional.  Consolidó su carrera en 2019 con el lanzamiento de ""Moonchies’"" su primer disco como productor. 

Durante 2021, ha lanzado la tercera entrega de Skydrvg, un disco junto a Pedro LaDroga titulado “Casa de Brujas” y la también tercera entrega de ""Skyrich"" junto a Rico Snchez. Además de un EP de tres temas, titulado “Vida Futura”, en el que $kyhook en Read more on Last.fm",38728,504325,Israel B
CNCO,"CNCO is a Latin American pop boy band formed in December, 2015, after becoming the winning members of the first season of the La Banda singing competition series created by Simon Cowell and produced by Ricky Martin. The band has toured with Martin and their singles, ""Tan fácil"" and ""Quisiera"", charted well soon after their debut. They released their first album, Primera Cita on August 26, 2016.

On May 9, 2021, Joel Pimentel announced his exit from the group, citing desires to ""grow and explore new artistic venues"". Read more on Last.fm",494286,9319435,Abraham Mateo
Becky G,"Rebbeca Marie Gomez, known professionally as Becky G, was born in Los Angeles on March 2, 1997. She is an American rapper, singer, and songwriter. Her musical career began in 2009 when she joined a girl group called G.L.A.M., and later another group named B.C.G.. Before her music career took off, Becky had already made small appearances in modeling and acting.

Her breakthrough came in 2011 when she posted a remake of Kanye West and Jay-Z’s Otis on YouTube. Read more on Last.fm",1418423,24974163,Natti Natasha
Gadiel,"Playing reggaeton since 1997, Gadiel Veguilla is younger brother of Llandel Veguilla from the Reggaeton duo Wisin y Yandel. Along with release of videoclip ""Pegate"", he announced his solo career officially. Read more on Last.fm",31322,171851,Jayko
IAmChino,"IAmChino is best known as Pitbull's canny and crowd-pleasing DJ. But Cuban Jose Garcia (his real name), based in Miami, has been a professional musician since he was 13. He got his first big break in 2005, after he met Pitbull's manager, Mike Calderón.  Read more on Last.fm",123248,628247,Nicky Jam
B-Case, Read more on Last.fm,12692,62028,Dario Rodriguez
Kidd Keo,"Kidd Keo, whose real name is Pàdua Keoma Salas Sánchez, is a Spanish trap music artist and one of the biggest exponents of the genre in Spain. Born on September 27, 1995, in Alicante, Spain, he has lived in various places and even spent some time in Canada during his childhood. He currently has a large number of relatives in that country.

Keo is a singer who alternates between Spanish and English in his songs, possibly influenced by his time in Canada. Read more on Last.fm",156677,7779902,Duki
Vicente Garcia,"Vicente Luis García Guillén (Santo Domingo, 30 de marzo de 1983) es un compositor, músico y cantante dominicano con una sensibilidad especial hacia la música dominicana y del Caribe. En 2017 gana 3 Latin GRAMMYS en las categorías Mejor Nuevo Artista, Mejor Álbum Cantautor con su disco A la Mar y Mejor Canción Tropical con el sencillo Bachata en Kingston.  Comienza su carrera como solista en el 2011 y edita su primer disco Melodrama.  En el 2014 estrena Te soñé Read more on Last.fm",109210,1722855,Juan Luis Guerra 4.40
Mozart La Para,"Rapper Mozart La Para grew up on the outskirts of Santa Domingo in the Dominican Republic on a diet of classic Reggae en Español, and by the age of 12 had developed a knack for freestyling. Taking the skills he'd established, La Para entered local freestyle battles and eventually would become a regular finalist in the Batalla de los Gallos. While most of his contemporaries were embracing dembow and tropical pop, La Para continued to develop his Latin hip-hop sound. Read more on Last.fm",34651,225334,Black Jonas Point
Paulo Londra,"Paulo Ezequiel Londra Farías, más conocido como Paulo Londra (Córdoba, Argentina; 12 de abril de 1998) es un rapero, cantante, compositor y músico argentino

 Read more on Last.fm",378236,16293017,LIT killah
Frank Miami, Read more on Last.fm,20421,92788,Carbon Fiber Music
Romeo Santos,"Anthony ""Romeo"" Santos (born July 21, 1981) is an American singer, featured composer and lead singer of the Bachata group Aventura. As a member of Aventura, Santos has been a key figure in popularizing Bachata, with hits reaching near the top of the Billboard Latin charts and the top of charts in Europe. In 2002, the band's song ""Obsesión"" was number one in Italy for sixteen consecutive weeks. Santos was born in The Bronx, New York, United States to a Dominican father and a Puerto Rican mother. Read more on Last.fm",804934,24165519,Aventura
Guitarricadelafuente,"Álvaro Lafuente Calvo, better known by his stage name Guitarricadelafuente, is a Spanish singer-songwriter, guitarist and musician based in Barcelona. 
Lafuente started posting covers on different social media platforms like Instagram in 2017 while being unsigned. Those covers attracted a modest number of people at first thanks to their mix of folk, rumba, and flamenco music. Read more on Last.fm",126067,4935379,pablopablo
